,DATA_EPI,CASO
0,2019-08,2
1,2019-09,1
2,2019-23,1
3,2019-29,1
4,2019-30,2
5,2019-31,2
6,2019-32,7
7,2019-33,3
8,2019-34,4
9,2019-35,7
10,2019-36,1
11,2019-37,5
12,2019-38,3
13,2019-39,4
14,2019-40,6
15,2019-41,7
16,2019-42,5
17,2019-43,5
18,2019-44,5
19,2019-45,3
20,2019-46,7
21,2019-47,6
22,2019-48,5
23,2019-49,2
24,2019-50,1
25,2019-51,3
26,2019-52,4
27,2020-01,5
28,2020-02,3
29,2020-03,3
30,2020-04,4
31,2020-06,5
32,2020-07,5
33,2020-08,1
34,2020-09,4
35,2020-10,7
36,2020-11,2
37,2020-13,1
38,2020-14,1
39,2020-41,1
40,2020-43,1
